date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:43	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Fri,%2003%20Jan%202025%2001:07:42%20GMT	http://sites.google.com/view/noshortcut-smile/home	C:/My%20Web%20Sites/BHS%20support%20page/sites.google.com/view/noshortcut-smile/home.0.delayed	(from )
20:07:43	62758/62758	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2001:07:42%20GMT	https://sites.google.com/view/noshortcut-smile/home	C:/My%20Web%20Sites/BHS%20support%20page/sites.google.com/view/noshortcut-smile/home.html	(from )
20:07:43	77/77	---MCZ	200	added ('OK')	text/plain	date:Fri,%2003%20Jan%202025%2001:07:42%20GMT	https://sites.google.com/robots.txt		(from )
20:07:44	297036/297036	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/BHS%20support%20page/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/noshortcut-smile/home)
20:07:44	14461/14461	---M--	200	added ('OK')	text/javascript	etag:%22da287f7ab1476565%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/BHS%20support%20page/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/noshortcut-smile/home)
20:07:45	78074/78074	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2001:07:43%20GMT	https://sites.google.com/view/noshortcut-smile/topic-beta	C:/My%20Web%20Sites/BHS%20support%20page/sites.google.com/view/noshortcut-smile/topic-beta.html	(from https://sites.google.com/view/noshortcut-smile/home)
20:07:45	62206/62206	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2001:07:44%20GMT	https://sites.google.com/view/noshortcut-smile/topic-security	C:/My%20Web%20Sites/BHS%20support%20page/sites.google.com/view/noshortcut-smile/topic-security.html	(from https://sites.google.com/view/noshortcut-smile/home)
20:07:45	52288/52288	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2001:07:44%20GMT	https://sites.google.com/view/noshortcut-smile/topic-web-and-apps	C:/My%20Web%20Sites/BHS%20support%20page/sites.google.com/view/noshortcut-smile/topic-web-and-apps.html	(from https://sites.google.com/view/noshortcut-smile/home)
20:07:46	69201/69201	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2001:07:45%20GMT	https://sites.google.com/view/noshortcut-smile/topic-errors	C:/My%20Web%20Sites/BHS%20support%20page/sites.google.com/view/noshortcut-smile/topic-errors.html	(from https://sites.google.com/view/noshortcut-smile/home)
20:07:47	53730/53730	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2001:07:45%20GMT	https://sites.google.com/view/noshortcut-smile/page-not-public-err	C:/My%20Web%20Sites/BHS%20support%20page/sites.google.com/view/noshortcut-smile/page-not-public-err.html	(from https://sites.google.com/view/noshortcut-smile/home)
